Sample Date,Routine Result
12/02/2014,20
12/09/2014,10
12/16/2014,0
12/22/2014,0
12/29/2014,10
01/06/2015,0
01/13/2015,10
01/20/2015,31
01/27/2015,10
02/03/2015,52
02/10/2015,0
02/17/2015,74
02/24/2015,84
03/03/2015,31
11/10/2015,130
11/17/2015,0
11/24/2015,10
12/01/2015,10
12/08/2015,0
12/15/2015,41
12/21/2015,31
12/29/2015,10
01/05/2016,30
01/12/2016,63
01/19/2016,41
01/27/2016,10
02/02/2016,10
02/09/2016,20
02/16/2016,320
02/23/2016,20
03/01/2016,10
03/08/2016,10
03/15/2016,10
03/22/2016,10
03/29/2016,20
04/05/2016,0
12/06/2016,52
12/13/2016,0
12/20/2016,130
12/28/2016,41
01/03/2017,86
01/09/2017,10
01/10/2017,130
01/16/2017,20
01/17/2017,31
01/24/2017,280
01/31/2017,10
02/07/2017,20
02/14/2017,63
02/21/2017,0
02/28/2017,0
03/07/2017,20
12/05/2017,10
12/12/2017,0
12/19/2017,63
12/27/2017,10
01/02/2018,41
01/09/2018,10
01/16/2018,20
01/23/2018,200
01/30/2018,960
02/06/2018,20
02/13/2018,20
02/20/2018,0
02/27/2018,0
03/06/2018,10
