Sample Date,Routine Result
12/03/13,0
12/10/13,86
12/17/13,0
12/26/13,0
01/02/14,500
01/07/14,41
01/14/14,10
01/21/14,0
01/28/14,10
02/04/14,52
02/11/14,0
02/18/14,20
02/25/14,0
03/04/14,0
12/02/14,0
12/09/14,260
12/16/14,0
12/22/14,63
12/29/14,10
01/06/15,20
01/13/15,0
01/20/15,0
01/27/15,170
02/03/15,74
02/10/15,0
02/17/15,220
02/24/15,73
03/03/15,10
11/10/15,41
11/17/15,10
11/24/15,0
12/01/15,0
12/08/15,0
12/15/15,0
12/21/15,4600
12/29/15,0
01/05/16,0
01/12/16,110
01/19/16,0
01/27/16,0
02/02/16,31
02/09/16,0
02/16/16,1500
02/23/16,0
03/01/16,0
03/08/16,0
03/15/16,10
03/22/16,0
03/29/16,0
04/05/16,0
12/06/16,0
12/13/16,0
12/20/16,6900
12/28/16,0
01/03/17,86
01/09/17,0
01/10/17,31
01/16/17,10
01/17/17,10
01/24/17,20
01/31/17,41
02/07/17,61
02/14/17,330
02/21/17,20
02/28/17,0
03/07/17,0
12/05/17,52
12/12/17,0
12/19/17,20
12/27/17,0
01/02/18,41
01/09/18,0
01/16/18,10
01/23/18,0
01/30/18,5200
02/06/18,0
02/13/18,0
02/20/18,0
02/27/18,0
03/06/18,0
