Sample Date,Routine Result
12/03/2013,10
12/10/2013,74
12/17/2013,10
12/26/2013,41
01/02/2014,20
01/07/2014,63
01/14/2014,0
01/21/2014,10
01/28/2014,0
02/04/2014,30
02/11/2014,0
02/18/2014,0
02/25/2014,0
03/04/2014,0
12/02/2014,20
12/09/2014,31
12/16/2014,0
12/22/2014,85
12/29/2014,20
01/06/2015,20
01/13/2015,0
01/20/2015,0
01/27/2015,0
02/03/2015,0
02/10/2015,0
02/17/2015,200
02/24/2015,130
03/03/2015,10
11/10/2015,30
11/17/2015,10
11/24/2015,0
12/01/2015,0
12/08/2015,0
12/15/2015,20
12/21/2015,1700
12/29/2015,30
01/05/2016,0
01/12/2016,31
01/19/2016,10
01/27/2016,10
02/02/2016,10
02/09/2016,41
02/16/2016,1600
02/23/2016,10
03/01/2016,0
03/08/2016,0
03/15/2016,10
03/22/2016,0
03/29/2016,0
04/05/2016,10
12/06/2016,10
12/13/2016,10
12/20/2016,52
12/28/2016,10
01/03/2017,640
01/04/2017,
01/05/2017,2576
01/06/2017,
01/09/2017,20
01/10/2017,62
01/16/2017,41
01/17/2017,10
01/24/2017,550
01/31/2017,10
02/07/2017,51
02/14/2017,62
02/21/2017,0
02/28/2017,0
03/07/2017,0
12/05/2017,370
12/06/2017,20
12/07/2017,63
12/12/2017,20
12/13/2017,10
12/14/2017,31
12/19/2017,52
12/20/2017,660
12/21/2017,350
12/27/2017,31
01/02/2018,63
01/03/2018,84
01/04/2018,10
01/09/2018,20
01/10/2018,73
01/11/2018,0
01/16/2018,41
01/17/2018,31
01/18/2018,0
01/23/2018,20
01/24/2018,31
01/25/2018,0
01/30/2018,2900
01/31/2018,430
02/01/2018,130
02/06/2018,10
02/07/2018,72
02/08/2018,860
02/09/2018,
02/13/2018,20
02/14/2018,74
02/15/2018,0
02/20/2018,52
02/21/2018,10
02/22/2018,20
02/27/2018,0
02/28/2018,10
03/01/2018,160
03/06/2018,10
03/07/2018,10
03/08/2018,41
