Sample Date,Routine Result
12/03/2013,10
12/10/2013,0
12/17/2013,0
12/26/2013,20
01/02/2014,20
01/07/2014,10
01/14/2014,0
01/21/2014,120
01/28/2014,0
02/04/2014,52
02/11/2014,0
02/18/2014,0
02/25/2014,0
03/04/2014,0
12/02/2014,41
12/09/2014,20
12/16/2014,0
12/22/2014,10
12/29/2014,0
01/06/2015,0
01/13/2015,10
01/20/2015,0
01/27/2015,10
02/03/2015,0
02/10/2015,0
02/17/2015,10
02/24/2015,30
03/03/2015,20
11/10/2015,98
11/17/2015,0
11/24/2015,0
12/01/2015,110
12/08/2015,0
12/15/2015,0
12/21/2015,540
12/29/2015,0
01/05/2016,0
01/12/2016,31
01/19/2016,0
01/27/2016,10
02/02/2016,0
02/09/2016,0
02/16/2016,230
02/23/2016,30
03/01/2016,0
03/08/2016,0
03/15/2016,0
03/22/2016,10
03/29/2016,10
04/05/2016,0
12/06/2016,0
12/13/2016,10
12/20/2016,74
12/28/2016,230
01/03/2017,130
01/09/2017,0
01/10/2017,10
01/16/2017,110
01/17/2017,10
01/24/2017,160
01/31/2017,10
02/07/2017,330
02/14/2017,0
02/21/2017,0
02/28/2017,0
03/07/2017,0
12/05/2017,520
12/07/2017,31
12/12/2017,10
12/14/2017,86
12/19/2017,0
12/21/2017,63
12/27/2017,0
01/02/2018,85
01/04/2018,20
01/09/2018,0
01/11/2018,0
01/16/2018,110
01/18/2018,0
01/23/2018,0
01/25/2018,0
01/30/2018,4400
02/01/2018,10
02/06/2018,0
02/08/2018,0
02/13/2018,0
02/15/2018,0
02/20/2018,0
02/22/2018,10
02/27/2018,0
03/01/2018,20
03/06/2018,0
03/08/2018,0
