Sample Date,Routine Result
12/02/2014,0
12/09/2014,85
12/16/2014,0
12/22/2014,0
12/29/2014,0
01/06/2015,0
01/13/2015,0
01/20/2015,0
01/27/2015,0
02/03/2015,0
02/10/2015,0
02/17/2015,96
02/24/2015,250
03/03/2015,0
11/10/2015,30
11/17/2015,0
11/24/2015,0
12/01/2015,0
12/08/2015,0
12/15/2015,0
12/21/2015,380
12/29/2015,10
01/05/2016,0
01/12/2016,20
01/19/2016,0
01/27/2016,0
02/02/2016,20
02/09/2016,10
02/16/2016,660
02/23/2016,0
03/01/2016,0
03/08/2016,10
03/15/2016,20
03/22/2016,0
03/29/2016,0
04/05/2016,0
12/06/2016,10
12/13/2016,10
12/20/2016,20
12/28/2016,0
01/03/2017,52
01/09/2017,0
01/10/2017,0
01/16/2017,0
01/17/2017,10
01/24/2017,10
01/31/2017,10
02/07/2017,30
02/14/2017,30
02/21/2017,0
02/28/2017,0
03/07/2017,0
12/05/2017,120
12/06/2017,20
12/07/2017,10
12/12/2017,0
12/13/2017,0
12/14/2017,52
12/19/2017,20
12/20/2017,270
12/21/2017,170
12/27/2017,0
01/02/2018,20
01/03/2018,20
01/04/2018,10
01/09/2018,0
01/10/2018,10
01/11/2018,10
01/16/2018,0
01/17/2018,0
01/18/2018,0
01/23/2018,0
01/24/2018,10
01/25/2018,0
01/30/2018,2800
01/31/2018,280
02/01/2018,20
02/06/2018,0
02/07/2018,10
02/08/2018,0
02/13/2018,0
02/14/2018,86
02/15/2018,0
02/20/2018,0
02/21/2018,10
02/22/2018,0
02/27/2018,0
02/28/2018,0
03/01/2018,0
03/06/2018,0
03/07/2018,0
03/08/2018,0
