Sample Date,Routine Result
12/03/2013,110
12/10/2013,98
12/17/2013,0
12/26/2013,0
01/02/2014,790
01/07/2014,20
01/14/2014,10
01/21/2014,0
01/28/2014,0
02/04/2014,0
02/11/2014,0
02/18/2014,10
02/25/2014,20
03/02/2014,
03/04/2014,0
12/02/2014,20
12/09/2014,220
12/16/2014,10
12/22/2014,31
12/29/2014,0
01/06/2015,10
01/13/2015,0
01/20/2015,0
01/27/2015,31
02/03/2015,86
02/10/2015,0
02/17/2015,85
02/24/2015,120
03/03/2015,10
11/10/2015,170
11/17/2015,0
11/24/2015,0
12/01/2015,120
12/08/2015,10
12/15/2015,10
12/21/2015,1700
12/29/2015,10
01/05/2016,10
01/12/2016,240
01/19/2016,74
01/27/2016,20
02/02/2016,73
02/09/2016,20
02/16/2016,390
02/23/2016,0
03/01/2016,0
03/08/2016,0
03/15/2016,52
03/22/2016,86
03/29/2016,10
04/05/2016,0
12/06/2016,10
12/13/2016,0
12/20/2016,4600
12/28/2016,0
01/03/2017,230
01/04/2017,64
01/05/2017,27
01/06/2017,155
01/07/2017,16
01/09/2017,10
01/10/2017,41
01/16/2017,30
01/17/2017,10
01/24/2017,98
01/31/2017,20
02/07/2017,97
02/14/2017,550
02/15/2017,
02/21/2017,10
02/28/2017,0
03/07/2017,52
12/05/2017,74
12/06/2017,31
12/07/2017,10
12/12/2017,0
12/13/2017,0
12/14/2017,63
12/19/2017,10
12/20/2017,340
12/21/2017,1600
12/22/2017,
12/27/2017,0
01/02/2018,84
01/03/2018,250
01/04/2018,0
01/09/2018,10
01/10/2018,31
01/11/2018,0
01/16/2018,30
01/17/2018,20
01/18/2018,20
01/23/2018,97
01/24/2018,0
01/25/2018,0
01/30/2018,7700
01/31/2018,320
02/01/2018,210
02/06/2018,0
02/07/2018,120
02/08/2018,260
02/13/2018,0
02/14/2018,620
02/15/2018,
02/16/2018,
02/20/2018,10
02/21/2018,10
02/22/2018,20
02/27/2018,10
02/28/2018,20
03/01/2018,1200
03/02/2018,
03/06/2018,10
03/07/2018,0
03/08/2018,31
